$C$	$d=0.1$	$d=0.3$	$d=0.5$	$d=0.7$	$d=0.9$
565000000	1.9424(13)	0.55079(46)	0.26133(22)	0.11887(16)	0.03583(12)
570000000	1.9425(13)	0.55078(45)	0.26134(23)	0.11887(16)	0.03583(12)
575000000	1.9423(13)	0.55079(47)	0.26134(24)	0.11888(16)	0.03583(13)
580000000	1.9423(12)	0.55079(46)	0.26137(24)	0.11890(16)	0.03583(13)
585000000	1.9426(13)	0.55081(45)	0.26136(24)	0.11891(16)	0.03583(12)
590000000	1.9426(14)	0.55084(46)	0.26137(24)	0.11892(15)	0.03583(12)
595000000	1.9428(13)	0.55091(44)	0.26138(24)	0.11892(16)	0.03583(13)
600000000	1.9426(14)	0.55091(42)	0.26137(25)	0.11892(16)	0.03583(13)
605000000	1.9425(13)	0.55094(43)	0.26138(25)	0.11892(15)	0.03583(13)
610000000	1.9426(13)	0.55099(42)	0.26142(25)	0.11893(15)	0.03583(12)
615000000	1.9424(13)	0.55104(43)	0.26143(26)	0.11894(15)	0.03583(12)
620000000	1.9424(13)	0.55106(44)	0.26140(26)	0.11893(15)	0.03582(13)
625000000	1.9422(13)	0.55109(44)	0.26143(27)	0.11893(15)	0.03582(12)
630000000	1.9422(13)	0.55113(44)	0.26143(27)	0.11894(16)	0.03582(12)
635000000	1.9420(13)	0.55124(45)	0.26145(28)	0.11894(16)	0.03583(13)
640000000	1.9421(13)	0.55124(46)	0.26147(28)	0.11895(15)	0.03583(13)
645000000	1.9423(13)	0.55126(48)	0.26148(28)	0.11895(16)	0.03583(13)
650000000	1.9423(13)	0.55126(48)	0.26149(29)	0.11894(16)	0.03582(13)
655000000	1.9424(12)	0.55126(47)	0.26152(29)	0.11894(16)	0.03583(13)
660000000	1.9423(13)	0.55129(47)	0.26153(30)	0.11894(16)	0.03582(13)
665000000	1.9423(12)	0.55127(47)	0.26154(30)	0.11894(15)	0.03582(12)
670000000	1.9422(12)	0.55128(46)	0.26152(30)	0.11896(15)	0.03582(12)
675000000	1.9421(11)	0.55135(44)	0.26153(30)	0.11897(15)	0.03582(12)
680000000	1.9419(11)	0.55137(46)	0.26154(30)	0.11896(15)	0.03582(12)
685000000	1.9418(11)	0.55132(46)	0.26153(31)	0.11896(14)	0.03582(12)
690000000	1.9419(11)	0.55138(46)	0.26153(31)	0.11897(15)	0.03582(12)
695000000	1.9418(12)	0.55136(46)	0.26154(31)	0.11898(15)	0.03582(13)
700000000	1.9419(12)	0.55137(46)	0.26153(31)	0.11898(14)	0.03582(13)
705000000	1.9419(12)	0.55141(48)	0.26150(32)	0.11899(15)	0.03582(13)
710000000	1.9419(12)	0.55143(50)	0.26151(31)	0.11900(14)	0.03583(13)
715000000	1.9420(12)	0.55142(51)	0.26152(30)	0.11902(15)	0.03583(13)
720000000	1.9423(12)	0.55142(50)	0.26153(30)	0.11902(15)	0.03583(13)
725000000	1.9424(11)	0.55139(49)	0.26155(29)	0.11903(15)	0.03583(13)
730000000	1.9425(11)	0.55140(48)	0.26155(29)	0.11903(15)	0.03582(13)
735000000	1.9424(11)	0.55141(50)	0.26154(29)	0.11903(15)	0.03582(13)
740000000	1.9424(11)	0.55143(51)	0.26154(29)	0.11904(15)	0.03583(12)
745000000	1.9425(11)	0.55145(49)	0.26153(29)	0.11904(15)	0.03582(12)
750000000	1.9426(11)	0.55141(50)	0.26154(29)	0.11904(15)	0.03582(12)
755000000	1.9425(11)	0.55132(48)	0.26155(29)	0.11905(15)	0.03582(12)
760000000	1.9426(11)	0.55134(48)	0.26156(28)	0.11905(15)	0.03582(12)
765000000	1.9426(11)	0.55140(49)	0.26158(28)	0.11905(15)	0.03582(12)
770000000	1.9426(12)	0.55141(48)	0.26157(28)	0.11906(16)	0.03582(12)
775000000	1.9428(13)	0.55139(51)	0.26158(27)	0.11907(16)	0.03582(12)
780000000	1.9427(13)	0.55141(53)	0.26159(28)	0.11908(16)	0.03581(12)
785000000	1.9428(13)	0.55142(52)	0.26160(28)	0.11908(16)	0.03582(12)
790000000	1.9429(13)	0.55146(53)	0.26159(27)	0.11908(16)	0.03582(12)
795000000	1.9429(13)	0.55141(53)	0.26159(27)	0.11908(16)	0.03582(12)
800000000	1.9429(13)	0.55141(52)	0.26159(26)	0.11909(16)	0.03582(13)
805000000	1.9432(13)	0.55136(52)	0.26160(26)	0.11909(15)	0.03582(12)
810000000	1.9433(13)	0.55134(52)	0.26162(26)	0.11909(16)	0.03582(13)
815000000	1.9432(12)	0.55134(54)	0.26164(26)	0.11910(16)	0.03582(13)
820000000	1.9434(12)	0.55139(54)	0.26165(27)	0.11909(16)	0.03582(13)
825000000	1.9433(12)	0.55137(54)	0.26167(27)	0.11910(16)	0.03582(13)
830000000	1.9434(12)	0.55136(53)	0.26167(28)	0.11912(16)	0.03582(13)
835000000	1.9433(12)	0.55130(53)	0.26166(28)	0.11912(17)	0.03583(13)
840000000	1.9435(12)	0.55135(52)	0.26168(27)	0.11913(16)	0.03584(13)
845000000	1.9437(12)	0.55134(53)	0.26170(28)	0.11913(16)	0.03584(12)
850000000	1.9437(12)	0.55132(53)	0.26171(28)	0.11914(16)	0.03584(12)
855000000	1.9438(12)	0.55134(53)	0.26172(28)	0.11914(16)	0.03584(13)
860000000	1.9437(11)	0.55135(50)	0.26170(27)	0.11914(16)	0.03584(13)
865000000	1.94354(100)	0.55133(52)	0.26172(28)	0.11914(16)	0.03584(13)
870000000	1.94340(99)	0.55130(53)	0.26173(27)	0.11915(16)	0.03584(13)
875000000	1.94353(99)	0.55135(53)	0.26173(27)	0.11916(15)	0.03584(13)
880000000	1.94346(99)	0.55136(54)	0.26174(28)	0.11918(15)	0.03585(13)
885000000	1.94342(98)	0.55137(55)	0.26177(28)	0.11919(15)	0.03585(13)
890000000	1.94344(92)	0.55143(54)	0.26176(27)	0.11919(15)	0.03585(13)
895000000	1.94339(93)	0.55144(54)	0.26178(27)	0.11919(15)	0.03585(13)
900000000	1.94351(92)	0.55140(54)	0.26177(27)	0.11919(15)	0.03586(13)
905000000	1.94349(94)	0.55137(52)	0.26178(27)	0.11920(15)	0.03586(13)
910000000	1.94361(91)	0.55140(52)	0.26177(26)	0.11920(15)	0.03586(13)
915000000	1.94358(87)	0.55142(52)	0.26178(26)	0.11921(15)	0.03586(13)
920000000	1.94342(94)	0.55141(54)	0.26177(27)	0.11921(15)	0.03586(12)
925000000	1.94339(94)	0.55139(53)	0.26177(27)	0.11921(15)	0.03586(12)
930000000	1.94340(92)	0.55137(53)	0.26177(27)	0.11922(15)	0.03585(12)
935000000	1.94333(89)	0.55137(54)	0.26177(28)	0.11922(15)	0.03585(12)
940000000	1.94341(87)	0.55132(53)	0.26177(29)	0.11922(15)	0.03585(13)
945000000	1.94331(85)	0.55133(52)	0.26177(28)	0.11922(15)	0.03585(13)
